"Year","Cause","Age_Range","ISO_Code","Deaths","Country","intentional_self_harm_flag","substance_use_flag","continent","GDP","Country.Name","Population","gdp_per_capita"
2017,"Mental and behavioural disorders due to psychoactive substance use","20-24","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.386e+09,"Antigua and Barbuda",90468,15320.3342618384
2017,"Mental and behavioural disorders due to psychoactive substance use","25-29","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.386e+09,"Antigua and Barbuda",90468,15320.3342618384
2017,"Mental and behavioural disorders due to psychoactive substance use","20-24","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.386e+09,"Antigua and Barbuda",90468,15320.3342618384
2017,"Mental and behavioural disorders due to psychoactive substance use","25-29","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.386e+09,"Antigua and Barbuda",90468,15320.3342618384
2018,"Mental and behavioural disorders due to psychoactive substance use","20-24","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.458e+09,"Antigua and Barbuda",90926,16035.0174867475
2018,"Mental and behavioural disorders due to psychoactive substance use","25-29","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.458e+09,"Antigua and Barbuda",90926,16035.0174867475
2019,"Mental and behavioural disorders due to psychoactive substance use","20-24","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.536e+09,"Antigua and Barbuda",91364,16811.8733855786
2019,"Mental and behavioural disorders due to psychoactive substance use","25-29","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.536e+09,"Antigua and Barbuda",91364,16811.8733855786
2019,"Mental and behavioural disorders due to psychoactive substance use","20-24","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.536e+09,"Antigua and Barbuda",91364,16811.8733855786
2019,"Mental and behavioural disorders due to psychoactive substance use","25-29","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.536e+09,"Antigua and Barbuda",91364,16811.8733855786
2020,"Mental and behavioural disorders due to psychoactive substance use","20-24","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.617e+09,"Antigua and Barbuda",91846,17605.5571282364
2020,"Mental and behavioural disorders due to psychoactive substance use","25-29","ATG",0,"Antigua and Barbuda",0,1,"Americas",1.617e+09,"Antigua and Barbuda",91846,17605.5571282364
2017,"Intentional self-harm","20-24","ARG",76,"Argentina",1,0,"Americas",5.89585e+11,"Argentina",44288894,13312.2538575924
2017,"Intentional self-harm","25-29","ARG",64,"Argentina",1,0,"Americas",5.89585e+11,"Argentina",44288894,13312.2538575924
2017,"Intentional self-harm","20-24","ARG",404,"Argentina",1,0,"Americas",5.89585e+11,"Argentina",44288894,13312.2538575924
2017,"Intentional self-harm","25-29","ARG",305,"Argentina",1,0,"Americas",5.89585e+11,"Argentina",44288894,13312.2538575924
2017,"Intentional self-harm","20-24","ARG",0,"Argentina",1,0,"Americas",5.89585e+11,"Argentina",44288894,13312.2538575924
2017,"Intentional self-harm","25-29","ARG",0,"Argentina",1,0,"Americas",5.89585e+11,"Argentina",44288894,13312.2538575924
2017,"Mental and behavioural disorders due to psychoactive substance use","20-24","ARG",0,"Argentina",0,1,"Americas",5.89585e+11,"Argentina",44288894,13312.2538575924
2017,"Mental and behavioural disorders due to psychoactive substance use","25-29","ARG",1,"Argentina",0,1,"Americas",5.89585e+11,"Argentina",44288894,13312.2538575924
2017,"Mental and behavioural disorders due to psychoactive substance use","20-24","ARG",3,"Argentina",0,1,"Americas",5.89585e+11,"Argentina",44288894,13312.2538575924
2017,"Mental and behavioural disorders due to psychoactive substance use","25-29","ARG",4,"Argentina",0,1,"Americas",5.89585e+11,"Argentina",44288894,13312.2538575924
2017,"Mental and behavioural disorders due to psychoactive substance use","20-24","ARG",0,"Argentina",0,1,"Americas",5.89585e+11,"Argentina",44288894,13312.2538575924
